"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"247" "4 to 6 Axle" 875 1315 29200 440 " Allahabad Bypass ( BOT ) " 1 "Monthly pass applicable local non-commercial vehicles  Residing with in 20 km  :Rs.230/-	" 2015-04-01 2016-03-31 " Allahabad Bypass ( BOT )  Km 161.85 - NH-19 (Old 2) in Uttar Pradesh  " " Allahabad Bypass  " 84.706 "s) " "( BOT ) " 13596300000 2014-04-25 830900000 2013-10-31 2014-03-26 "Sr No. - S.O. 895" NA "Sh. Ajay Singh / 7080155555" "Allahabad Bypass Toll Pathways Pvt. Ltd." NA 2017-12-31 NA 2013-12-31 FALSE
"248" "HCM/EME" 875 1315 29200 440 " Allahabad Bypass ( BOT ) " 1 "Monthly pass applicable local non-commercial vehicles  Residing with in 20 km  :Rs.230/-	" 2015-04-01 2016-03-31 " Allahabad Bypass ( BOT )  Km 161.85 - NH-19 (Old 2) in Uttar Pradesh  " " Allahabad Bypass  " 84.706 "s) " "( BOT ) " 13596300000 2014-04-25 830900000 2013-10-31 2014-03-26 "Sr No. - S.O. 895" NA "Sh. Ajay Singh / 7080155555" "Allahabad Bypass Toll Pathways Pvt. Ltd." NA 2017-12-31 NA 2013-12-31 FALSE
"249" "7 or more Axle" 1090 1635 36370 545 " Allahabad Bypass ( BOT ) " 1 "Monthly pass applicable local non-commercial vehicles  Residing with in 20 km  :Rs.230/-	" 2015-04-01 2016-03-31 " Allahabad Bypass ( BOT )  Km 161.85 - NH-19 (Old 2) in Uttar Pradesh  " " Allahabad Bypass  " 84.706 "s) " "( BOT ) " 13596300000 2014-04-25 830900000 2013-10-31 2014-03-26 "Sr No. - S.O. 895" NA "Sh. Ajay Singh / 7080155555" "Allahabad Bypass Toll Pathways Pvt. Ltd." NA 2017-12-31 NA 2013-12-31 FALSE
"250" "Car/Jeep/Van" 95 140 3160 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"251" "LCV" 155 230 5110 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"252" "Bus/Truck" 320 480 10700 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"253" "Upto 3 Axle Vehicle" 505 755 16785 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"254" "4 to 6 Axle" 505 755 16785 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"255" "HCM/EME" 505 755 16785 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"256" "7 or more Axle" 615 920 20430 NA " Sasaram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles:  Rs.230/-(with in 20 km)" 2015-04-01 2016-03-31 " Sasaram ( BOT )  Km 907.100 - NH-2 in Bihar  " " Varanasi - Aurangabad Section  " NA "s) " "( BOT ) " 33794500000 2011-09-12 1999000000 2013-12-16 2011-06-16 "Sr No. - 1416" 120000 "Sh. Kumar Vivek Vimal / 7654211000" "Soma Isolux Varanasi Aurangabad Tollway Pvt. Ltd." NA 2017-12-31 31000 2013-12-16 FALSE
"257" "Car/Jeep/Van" 75 110 2445 35 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"258" "LCV" 120 180 3950 60 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"259" "Bus/Truck" 250 375 8280 125 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"260" "Upto 3 Axle Vehicle" 270 405 9030 135 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"261" "4 to 6 Axle" 390 585 12980 195 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"262" "HCM/EME" 390 585 12980 195 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"263" "7 or more Axle" 475 710 15805 235 " Anantram ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles :  Rs.230/-" 2015-04-01 2016-03-31 " Anantram ( BOT )  Km 353.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 465100000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Stayavir Yadav / 8191000402" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30707 2013-09-30 FALSE
"264" "Car/Jeep/Van" 70 100 2265 35 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"265" "LCV" 110 165 3655 55 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"266" "Bus/Truck" 230 345 7660 115 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"267" "Upto 3 Axle Vehicle" 250 375 8355 125 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"268" "4 to 6 Axle" 360 540 12010 180 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"269" "HCM/EME" 360 540 12010 180 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"270" "7 or more Axle" 440 660 14620 220 " Tendua (Gorakhpur Bypass) ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Tendua (Gorakhpur Bypass) ( Public Funded )  Km 256.500 - NH-28 in Uttar Pradesh  " " Gorakhpur Bypass  " 31.295 "s) " "( Public Funded ) " NA 2012-11-24 320100000 2013-11-30 2012-10-30 "Sr No. - S.O.2624" NA "Sameer Pandey / 9415212759" "M/s Arya Toll Infra Ltd." NA 2017-12-31 15223 2013-08-30 FALSE
"271" "Car/Jeep/Van" 120 180 4050 60 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"272" "LCV" 190 285 6345 95 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"273" "Bus/Truck" 390 585 12965 195 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"274" "Upto 3 Axle Vehicle" 425 640 14170 215 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"275" "4 to 6 Axle" 600 895 19940 300 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"276" "HCM/EME" 600 895 19940 300 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"277" "7 or more Axle" 760 1140 25280 380 " Barajod ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Barajod ( BOT )  Km 438.000 - NH-2 in Uttar Pradesh  " " Etawah - Chakeri  " 323.475 " Km 483.687 Km" "( BOT ) " 22510000000 2013-03-13 714500000 2013-11-30 2013-01-11 "Sr No. - S.O.130" 120000 "Mr. Manoj Sharma / 8191000401" "Etawah Chakeri Kanpur Highway Pvt. Ltd." 48750 2017-10-01 30371 2013-09-30 FALSE
"278" "Car/Jeep/Van" 35 NA NA 15 " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"279" "LCV" 60 NA NA 30 " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"280" "Bus/Truck" 120 NA NA 60 " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"281" "Upto 3 Axle Vehicle" 190 NA NA 95 " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"282" "4 to 6 Axle" 190 NA NA 95 " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"283" "HCM/EME" 190 NA NA 95 " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"284" "7 or more Axle" NA NA NA NA " Bharudi ( BOT ) " 1 NA 2014-10-01 2015-09-30 " Bharudi ( BOT )  Km 156.800 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 10660 2017-12-31 10969 2013-09-30 FALSE
"285" "Car/Jeep/Van" 35 NA NA 15 " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"286" "LCV" 60 NA NA 30 " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"287" "Bus/Truck" 120 NA NA 60 " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"288" "Upto 3 Axle Vehicle" 190 NA NA 95 " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"289" "4 to 6 Axle" 190 NA NA 95 " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"290" "HCM/EME" 190 NA NA 95 " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"291" "7 or more Axle" NA NA NA NA " Pithadiya ( BOT ) " 1 NA 2015-10-01 2016-09-30 " Pithadiya ( BOT )  Km 120.700 - NH-27 in Gujarat  " " Gondal - Rajkot  " NA "s) " "( BOT ) " 2650000000 2008-05-16 1897900000 2013-03-31 2008-05-05 "Sr No. - )" NA "Vimal lunagaria / 9925220020" "West Gujarat Expressway Ltd." 12269 2017-12-31 12369 2013-09-30 FALSE
"292" "Car/Jeep/Van" 65 100 1995 35 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"293" "LCV" 115 175 3495 60 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"294" "Bus/Truck" 235 350 6990 115 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"295" "Upto 3 Axle Vehicle" 375 560 11235 185 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"296" "4 to 6 Axle" 375 560 11235 185 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"297" "HCM/EME" 375 560 11235 185 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"298" "7 or more Axle" 375 560 11235 185 " Choryasi ( BOT ) " 1 NA 2015-07-01 2016-06-30 " Choryasi ( BOT )  Km 245.650 - NH-8 in Gujarat  " " Bharuch - Surat  " 65 "s) " "( BOT ) " 15889100000 2009-09-25 6080600000 2013-11-30 2009-09-22 "Sr No. - S.0. 2424 " 150 "Idaa Infrastructure Pvt. Ltd. / 9427113030" "Idaa Infrastructure Pvt. Ltd." NA 2017-12-31 78984 2013-09-15 FALSE
"299" "Car/Jeep/Van" 30 45 1500 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
